bin,characteristic,x_mean,n,speed_z_mean,quality_z_mean,lm_aioe_z_mean
0,median_salary_2021,27.651621621621622,37,-0.35811338719606073,0.035971598054593934,-0.47264224
1,median_salary_2021,29.83297297297297,37,-0.4395784019096616,-0.0080740108647741,-0.49027598
2,median_salary_2021,33.41277777777778,36,-0.48669818335023307,-0.11303948327446031,-0.63737893
3,median_salary_2021,36.77918918918919,37,-0.40710874864510205,-0.10038475307584066,-0.43225154
4,median_salary_2021,37.71611111111111,36,-0.6130935403211205,0.018804320957787547,-0.5360482
5,median_salary_2021,38.946486486486485,37,-0.6020357488145349,0.014303302814716418,-0.65978354
6,median_salary_2021,44.02916666666667,36,-0.16770616114504586,-0.04311854422759285,-0.2686071
7,median_salary_2021,46.489729729729724,37,-0.5394477348323828,-0.09754291493983115,-0.65620786
8,median_salary_2021,47.634166666666665,36,-0.5121472891517482,7.105462443762794e-05,-0.44150096
9,median_salary_2021,48.54432432432433,37,-0.4261069500233018,-0.07862999217259563,-0.42505273
10,median_salary_2021,51.55722222222222,36,0.07209840850006734,-0.15836190182288734,-0.050369337
11,median_salary_2021,59.53108108108108,37,-0.02625389632748884,-0.15672577932605708,-0.17971845
12,median_salary_2021,61.12166666666667,36,0.29346078473395054,-0.15434509139467373,0.1671196
13,median_salary_2021,62.883243243243236,37,0.3972393435170823,0.05435996246406708,0.46496272
14,median_salary_2021,70.92972222222222,36,0.45957265578295226,-0.09907459240519714,0.46196875
15,median_salary_2021,77.8318918918919,37,0.7800564343055922,-0.1112909554152523,0.739044
16,median_salary_2021,81.14916666666666,36,0.5391636175200414,0.05698179352328614,0.6124011
17,median_salary_2021,95.23486486486486,37,0.6565420672082427,0.6801292613868201,0.89529234
18,median_salary_2021,103.61944444444445,36,0.6771997916086555,0.07942675857828163,0.8035018
19,median_salary_2021,137.75945945945946,37,0.6419979895981376,0.06200352710574771,0.82601815
0,occ_req_education,1.5703692436218262,39,-1.067750166267441,0.017839083325956764,-1.070898
1,occ_req_education,1.849001407623291,39,-1.003208957247265,0.02386019739193784,-0.98858386
2,occ_req_education,1.9841282367706299,38,-0.8192123171857949,0.03809137205441227,-0.8671935
3,occ_req_education,2.110741138458252,39,-1.1369827726295427,0.02450004330085685,-1.1351801
4,occ_req_education,2.2579052448272705,39,-0.7638097105342668,0.024467230690142984,-0.82139206
5,occ_req_education,2.4951460361480713,38,-0.8638824900284496,0.037372948577731366,-0.8805693
6,occ_req_education,2.666435480117798,39,-0.3815125705203181,-0.027639195123360796,-0.5413776
7,occ_req_education,2.9018521308898926,38,-0.4875714659049802,0.01433288317323682,-0.46808663
8,occ_req_education,3.1547927856445312,39,-0.21086299220775295,-0.04105955290530231,-0.2643191
9,occ_req_education,3.461636781692505,39,0.06565348641636727,-0.029498576397142394,-0.12619585
10,occ_req_education,3.924093246459961,38,0.3275551911422017,-0.14146959564853248,0.18531683
11,occ_req_education,4.48811149597168,39,0.4814228265831275,-0.17660844776398257,0.38502592
12,occ_req_education,4.9694037437438965,38,0.5330480171666774,-0.28243213953011087,0.38513651
13,occ_req_education,5.391078948974609,39,0.7241578769208166,-0.21767811758811126,0.46134314
14,occ_req_education,5.919303894042969,39,0.705879742791633,0.06441931861841264,0.86699665
15,occ_req_education,6.337203502655029,38,0.9017431913346596,-0.27730214689193594,0.9251923
16,occ_req_education,6.883293628692627,39,0.6559617802655617,0.5048028357766854,0.8118273
17,occ_req_education,7.786665916442871,38,0.7054859183824149,0.25176622953287897,0.97358644
18,occ_req_education,9.53294849395752,39,0.9672124219304258,0.06092204119316739,1.1652288
19,occ_req_education,11.002395629882812,39,0.6714244189311384,0.11518316177687705,1.0106387
0,avg_creative_weight,0.02756471559405327,39,-1.1382936042397869,0.03670633448638798,-1.3029766
1,avg_creative_weight,0.03219699114561081,39,-1.2340188073562954,0.02702661432581893,-1.2485758
2,avg_creative_weight,0.03456960245966911,38,-1.1738830455691631,0.03408391609855136,-1.1586472
3,avg_creative_weight,0.03675443306565285,39,-1.0341859779314542,0.0243687928580016,-1.0278931
4,avg_creative_weight,0.03846534714102745,39,-0.9862026418827826,0.023023475818736146,-0.93331784
5,avg_creative_weight,0.040259793400764465,38,-0.8161322260129706,0.03232153350731842,-0.80305934
6,avg_creative_weight,0.04271584749221802,39,-0.7156366488577968,0.029006308505551148,-0.79168975
7,avg_creative_weight,0.045302614569664,38,-0.4135696202268673,0.041273763548772345,-0.50410473
8,avg_creative_weight,0.04797585681080818,39,-0.1230372743213994,0.025418796400843047,-0.27472776
9,avg_creative_weight,0.050948720425367355,39,0.06561324158622821,0.020094950312530082,-0.08389217
10,avg_creative_weight,0.05349128320813179,38,0.22998828776886254,0.06332038398941903,0.2158042
11,avg_creative_weight,0.056390371173620224,39,0.48334307990690617,0.0208031558271028,0.49153566
12,avg_creative_weight,0.06054488569498062,38,0.3497471890368222,-0.030955859274720766,0.57736456
13,avg_creative_weight,0.06391089409589767,39,0.6907287962288682,-0.008191473254349858,0.70042586
14,avg_creative_weight,0.06707421690225601,39,0.8474495566979939,-0.11488792701133736,0.87725157
15,avg_creative_weight,0.06968366354703903,38,0.9501023929153407,-0.09599002196458145,1.0649486
16,avg_creative_weight,0.07232372462749481,39,0.8422206034106386,0.10313273049223638,0.9702899
17,avg_creative_weight,0.07535814493894577,38,1.0140526383771584,-0.06274048543444122,1.06469
18,avg_creative_weight,0.07843663543462753,39,0.9030017954435354,0.3044134877633232,1.119832
19,avg_creative_weight,0.08575865626335144,39,1.2594416320931299,-0.4796165014005073,1.0584593
0,mean_female,0.019197571752292496,31,-1.2649952716603445,0.005210462086399737,-1.2663118
1,mean_female,0.034382798859188636,31,-1.1535935017143633,0.03518001885253992,-1.1679585
2,mean_female,0.05543602282001126,31,-0.8873272144126229,0.06576878133698873,-0.88116014
3,mean_female,0.08244896431763966,30,-0.545040538676702,0.059455864371106046,-0.6863588
4,mean_female,0.1190739865264585,31,-0.676197642621739,0.017078571687316073,-0.7469468
5,mean_female,0.16877335646460134,31,-0.3163660199076358,0.09143141832911515,-0.23129842
6,mean_female,0.22013876537481944,30,-0.06311071000281315,-0.022970507495633227,-0.21556807
7,mean_female,0.27599293522296414,31,0.13692244409149698,0.09443112603114395,0.056225624
8,mean_female,0.33432324374875716,31,0.12764981267539857,-0.07536196199263323,0.20676865
9,mean_female,0.3977038331570164,31,0.18373766003587838,0.7424780706859357,0.30832025
10,mean_female,0.4653526782989502,30,0.4166217509454823,-0.12137169888838287,0.24874082
11,mean_female,0.5048443569291022,31,0.9865833528906373,-0.06273704540267286,1.0600102
12,mean_female,0.5160746612856465,31,1.0993862469953246,-0.5650013409107716,0.7489927
13,mean_female,0.557761816183726,30,0.18345412871644703,0.11608222731043491,0.36924902
