bin,characteristic,x_mean,n,speed_z_mean,quality_z_mean,lm_aioe_z_mean
0,median_salary_2021,27.651621621621622,37,-0.0003754017599061109,0.035971598054593934,-0.47264224
1,median_salary_2021,29.83297297297297,37,0.05031823774653601,-0.0080740108647741,-0.49027598
2,median_salary_2021,33.41277777777778,36,0.1752096096608248,-0.11303948327446031,-0.63737893
3,median_salary_2021,36.77918918918919,37,-0.02568864956643405,-0.10038475307584066,-0.43225154
4,median_salary_2021,37.71611111111111,36,-0.04439428547592566,0.018804320957787547,-0.5360482
5,median_salary_2021,38.946486486486485,37,-0.013871324330495304,0.014303302814716418,-0.65978354
6,median_salary_2021,44.02916666666667,36,0.1460878110127901,-0.04311854422759285,-0.2686071
7,median_salary_2021,46.489729729729724,37,0.13142806095684323,-0.09754291493983115,-0.65620786
8,median_salary_2021,47.634166666666665,36,-0.06445865267240941,7.105462443762794e-05,-0.44150096
9,median_salary_2021,48.54432432432433,37,-0.07796017056744742,-0.07862999217259563,-0.42505273
10,median_salary_2021,51.55722222222222,36,0.32123265691021263,-0.15836190182288734,-0.050369337
11,median_salary_2021,59.53108108108108,37,0.24157761805660227,-0.15672577932605708,-0.17971845
12,median_salary_2021,61.12166666666667,36,0.18780375244107686,-0.15434509139467373,0.1671196
13,median_salary_2021,62.883243243243236,37,-0.06763120163489865,0.05435996246406708,0.46496272
14,median_salary_2021,70.92972222222222,36,0.024284458695209774,-0.09907459240519714,0.46196875
15,median_salary_2021,77.8318918918919,37,0.24730051590287042,-0.1112909554152523,0.739044
16,median_salary_2021,81.14916666666666,36,-0.038148970836951394,0.05698179352328614,0.6124011
17,median_salary_2021,95.23486486486486,37,-0.3574913893823295,0.6801292613868201,0.89529234
18,median_salary_2021,103.61944444444445,36,-0.13675995865629917,0.07942675857828163,0.8035018
19,median_salary_2021,137.75945945945946,37,-0.32266609001278257,0.06200352710574771,0.82601815
0,occ_req_education,1.5703692436218262,39,-0.005583357593052144,0.017839083325956764,-1.070898
1,occ_req_education,1.849001407623291,39,-0.006666268078688114,0.02386019739193784,-0.98858386
2,occ_req_education,1.9841282367706299,38,-0.023347448020737405,0.03809137205441227,-0.8671935
3,occ_req_education,2.110741138458252,39,-0.03488564132202623,0.02450004330085685,-1.1351801
4,occ_req_education,2.2579052448272705,39,-0.03004439444506523,0.024467230690142984,-0.82139206
5,occ_req_education,2.4951460361480713,38,-0.04918768704311762,0.037372948577731366,-0.8805693
6,occ_req_education,2.666435480117798,39,0.06566578230011652,-0.027639195123360796,-0.5413776
7,occ_req_education,2.9018521308898926,38,-0.0554148414185298,0.01433288317323682,-0.46808663
8,occ_req_education,3.1547927856445312,39,-0.016571713991417512,-0.04105955290530231,-0.2643191
9,occ_req_education,3.461636781692505,39,0.10082852277488534,-0.029498576397142394,-0.12619585
10,occ_req_education,3.924093246459961,38,0.1690242238916053,-0.14146959564853248,0.18531683
11,occ_req_education,4.48811149597168,39,0.01900508049256529,-0.17660844776398257,0.38502592
12,occ_req_education,4.9694037437438965,38,0.30516082365783603,-0.28243213953011087,0.38513651
13,occ_req_education,5.391078948974609,39,0.3978144484385299,-0.21767811758811126,0.46134314
14,occ_req_education,5.919303894042969,39,-0.04917581302463474,0.06441931861841264,0.86699665
15,occ_req_education,6.337203502655029,38,0.1887942132157487,-0.27730214689193594,0.9251923
16,occ_req_education,6.883293628692627,39,-0.2094067520132615,0.5048028357766854,0.8118273
17,occ_req_education,7.786665916442871,38,-0.4529720672125674,0.25176622953287897,0.97358644
18,occ_req_education,9.53294849395752,39,0.004895393870896157,0.06092204119316739,1.1652288
19,occ_req_education,11.002395629882812,39,-0.30674925706399747,0.11518316177687705,1.0106387
